runtime,rating,votes,gross_earn,director_avg_earn,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
130.0,8.6,748122.0,7.56,14.736666666666666,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.0,7.9,676036.0,115.65,80.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
101.0,7.2,747517.0,256.39,239.1016666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
141.0,8.1,958178.0,164.62,156.35148148148147,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.0,7.8,691070.0,304.36,119.14285714285714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151.0,7.3,710348.0,423.32,169.03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124.0,6.9,805064.0,312.43,189.76857142857145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140.0,7.6,780037.0,380.26,267.61,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131.0,7.7,686938.0,146.41,72.74199999999999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127.0,8.2,745875.0,197.17,156.35148148148147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144.0,7.0,632481.0,319.25,183.02833333333334,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132.0,7.9,705585.0,233.92,126.90444444444445,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137.0,8.0,745911.0,66.21,78.02625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
124.0,6.9,832397.0,176.65,99.68375,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
114.0,8.2,813309.0,28.26,51.69,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127.0,7.9,601266.0,257.73,336.84000000000003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118.0,8.0,675631.0,138.8,74.7925,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
148.0,8.8,751207.0,6.1,7.823333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
